code,mets,major_heading_ja,activity_ja,major_heading_en,activity_en
04090,2.5,釣りと狩り,狩猟：カモ、川に入って,fishing and hunting,"hunting, duck, wading"
04095,3,釣りと狩り,狩猟：オオコウモリ、リス,fishing and hunting,"hunting, flying fox, squirrel"
04100,5,釣りと狩り,狩猟：全般,fishing and hunting,"hunting, general"
04110,6,釣りと狩り,狩猟：キジやライチョウ,fishing and hunting,"hunting, pheasants or grouse (Taylor Code 680)"
04115,3.3,釣りと狩り,狩猟：鳥類,fishing and hunting,"hunting, birds"
04120,5,釣りと狩り,狩猟：ウサギ、リス、ソウゲンライチョウ、アライグマ、小さな獲物,fishing and hunting,"hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)"
04123,3.3,釣りと狩り,狩猟：野生の豚,fishing and hunting,"hunting, pigs, wild"
04124,2,釣りと狩り,獲物を罠にかける：全般,fishing and hunting,"trapping game, general"
04125,9.5,釣りと狩り,狩猟：猟具を持って山を歩く,fishing and hunting,"hunting, hiking with hunting gear"
04130,2.5,釣りと狩り,ピストル射撃やトラップ射撃：立位,fishing and hunting,"pistol shooting or trap shooting, standing"
04140,2.3,釣りと狩り,ライフルエクササイズ：射撃、体を横にして,fishing and hunting,"rifle exercises, shooting, lying down"
04145,2.5,釣りと狩り,ライフルエクササイズ：射撃、膝立ちあるいは立位,fishing and hunting,"rifle exercises, shooting, kneeling or standing"
05010,3.3,家での活動,掃除：カーペットやフロアの掃き掃除、全般,home activities,"cleaning, sweeping carpet or floors, general"
05011,2.3,家での活動,掃除：掃き掃除、ゆっくり、楽な労力,home activities,"cleaning, sweeping, slow, light effort"
05012,3.8,家での活動,掃除：掃き掃除、ゆっくり、ほどほどの労力,home activities,"cleaning, sweeping, slow, moderate effort"
05020,3.5,家での活動,掃除：重いまたは大きいものの掃除(例：洗車、窓掃除、車庨掃除)、ほどほどの労力,home activities,"cleaning, heavy or major (e.g. wash car, wash windows, clean garage), moderate effort"
05021,3.5,家での活動,掃除：モップがけ、立位、ほどほどの労力,home activities,"cleaning, mopping, standing, moderate effort"
05022,3.2,家での活動,窓掃除：窓掃除、全般,home activities,"cleaning windows, washing windows, general"
05023,2.5,家での活動,モップがけ：立位、楽な労力,home activities,"mopping, standing, light effort"
05024,4.5,家での活動,床磨き：立位、ゆっくり歩く、電気研磨機を使っての床磨き,home activities,"polishing floors, standing, walking slowly, using electric polishing machine"
05025,2.8,家での活動,いろいろな家事を同時にこなす：楽な労力,home activities,"multiple household tasks all at once, light effort"
05026,3.5,家での活動,いろいろな家事を同時にこなす：ほどほどの労力,home activities,"multiple household tasks all at once, moderate effort"
05027,4.3,家での活動,いろいろな家事を同時にこなす：きつい労力,home activities,"multiple household tasks all at once, vigorous effort"
05030,3.3,家での活動,掃除：家や山小屋の掃除、全般、ほどほどの労力,home activities,"cleaning, house or cabin, general, moderate effort"
05032,2.3,家での活動,家具のほこりを取る、または磨く：全般,home activities,"dusting or polishing furniture, general"
05035,3.3,家での活動,台所での活動：全般(例：調理、皿洗い、掃除)、ほどほどの労力,home activities,"kitchen activity, general, (e.g., cooking, washing dishes, cleaning up), moderate effort"
05040,2.5,家での活動,掃除：全般(例：整頓、リネンの交換、ごみ捨て)、楽な労力,home activities,"cleaning, general (straightening up, changing linen, carrying out trash, light effort"
05041,1.8,家での活動,皿洗い：立位または全般(立位と歩行に分類しない場合),home activities,"wash dishes, standing or in general (not broken into stand/walk components)"
